doc_id,title,source,year,doc_type,topic_groups,n_topic_groups,matched_keywords_or_fields,location,language,notes
PMC_030,Microbial signature profiles of Penaeus vannamei larvae in low-survival hatchery tanks affected by vibriosis,PMC/journal,2023,Journal article,aquatic_disease; hatchery_seed_production; species_taxon_specific,3,"field: disease/pathogen/symptom/prevention/treatment; hatchery keywords/fields: hatchery, larvae, zoea, trai giong; field: related_taxon/species",,English,multi-label
PMC_031,"Vibrios Associated with Litopenaeus vannamei Larvae, Postlarvae, Broodstock, and Hatchery Probiotics",PMC/journal,1999,Journal article,aquatic_disease; hatchery_seed_production; species_taxon_specific,3,"field: disease/pathogen/symptom/prevention/treatment; hatchery keywords/fields: hatchery, larvae, postlarvae, broodstock, trai giong; field: related_taxon/species",Ecuador; Mexico,English,multi-label
PMC_032,"Isolation, characterization, and pathogenicity of a Vibrio parahaemolyticus strain causing translucent post-larvae disease in Penaeus vannamei outside China",PMC/journal,2025,Journal article,aquatic_disease; hatchery_seed_production; biosecurity_management; species_taxon_specific,4,"field: disease/pathogen/symptom/prevention/treatment; hatchery keywords/fields: hatchery, larvae, post larvae; biosecurity/management keywords: biosecurity; field: related_taxon/species",,English,multi-label
PMC_033,Delineating virulence of Vibrio campbellii: a predominant luminescent bacterial pathogen in Indian shrimp hatcheries,PMC/journal,2021,Journal article,aquatic_disease; hatchery_seed_production; species_taxon_specific,3,"field: disease/pathogen/symptom/prevention/treatment; hatchery keywords/fields: hatchery, larvae, trai giong; field: related_taxon/species",India,English,multi-label
PMC_034,Genome Characterization and Infectivity Potential of Vibriophage-φLV6 with Lytic Activity against Luminescent Vibrios of Penaeus vannamei Shrimp Aquaculture,PMC/journal,2023,Journal article,aquatic_disease; hatchery_seed_production; species_taxon_specific,3,"field: disease/pathogen/symptom/prevention/treatment; hatchery keywords/fields: hatchery, larvae, post larvae; field: related_taxon/species",India,English,multi-label
PMC_035,Advanced Pathogen Monitoring in Penaeus vannamei from Three Latin American Regions: Passive Surveillance Part 2,PMC/journal,2025,Journal article,aquatic_disease; biosecurity_management; environment_water_quality; species_taxon_specific,4,field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: surveillance; environment keywords/fields: monitoring; field: related_taxon/species,Latin America,English,multi-label
PMC_036,Microbiome of Penaeus vannamei Larvae and Potential Biomarkers Associated With High and Low Survival in Shrimp Hatchery Tanks Affected by Acute Hepatopancreatic Necrosis Disease,PMC/journal,2022,Journal article,aquatic_disease; hatchery_seed_production; species_taxon_specific,3,"field: disease/pathogen/symptom/prevention/treatment; hatchery keywords/fields: hatchery, larvae, trai giong; field: related_taxon/species",,English,multi-label
RIA3_001,Quy hoạch nuôi tôm hùm đến năm 2020 và định hướng đến 2030,RIA3,2015,Planning report,marine_aquaculture; local_vietnam_khanhhoa; species_taxon_specific,3,"marine keywords/fields: marine aquaculture, lobster, nuoi bien, long be, cam ranh; local keywords/fields: viet nam, khanh hoa, cam ranh, van ninh; field: related_taxon/species",Khánh Hòa; Việt Nam; ven biển Khánh Hòa; Vịnh Văn Phong; Vạn Ninh; Xuân Tự; Cam Ranh; Vịnh Cam Ranh,Vietnamese,multi-label
TB_001,Giải pháp an toàn sinh học trong nuôi tôm,TB,2014,Training/technical presentation,aquatic_disease; hatchery_seed_production; biosecurity_management; local_vietnam_khanhhoa; species_taxon_specific,5,"field: disease/pathogen/symptom/prevention/treatment; hatchery keywords/fields: hatchery, trai giong; biosecurity/management keywords: biosecurity, an toan sinh hoc; local keywords/fields: viet nam; field: related_taxon/species",Việt Nam,Vietnamese,multi-label
TB_002,"Công nghệ gen và chọn giống tôm kháng bệnh, tiềm năng và thách thức",TB,2025,Technical article,aquatic_disease; biosecurity_management; species_taxon_specific,3,field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: biosecurity; field: related_taxon/species,,Vietnamese,multi-label
TB_003,Cơ chế cơ bản của nhiễm đơn lẻ và đồng nhiễm DIV1 và WSSV ở tôm thẻ chân trắng,TB,2025,Technical article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,Vietnamese,multi-label
TB_004,Mối tương tác vật chủ-bệnh nguyên động và các mục tiêu kháng vi-rút tiềm năng trong quá trình nhiễm vi-rút hoại tử cơ ở tôm thẻ chân trắng,TB,2025,Technical article,aquatic_disease; species_taxon_specific,2,field: disease/pathogen/symptom/prevention/treatment; field: related_taxon/species,,Vietnamese,multi-label
TB_005,"Sự hiện diện của bệnh đốm trắng, hoại tử gan tụy cấp và vi bào tử trùng trên tôm giống và tôm nuôi thương phẩm tại một số tỉnh khu vực ĐBSCL từ năm 2022-2024",TB,2025,Technical article,aquatic_disease; hatchery_seed_production; local_vietnam_khanhhoa; species_taxon_specific,4,"field: disease/pathogen/symptom/prevention/treatment; hatchery keywords/fields: tom giong; local keywords/fields: dbscl, dong bang song cuu long; field: related_taxon/species",Đồng bằng sông Cửu Long,Vietnamese,multi-label
TB_006,Hoại tử cơ (IMNV) trên tôm và chiến lược kiểm soát,TB,2019,Technical article,aquatic_disease; hatchery_seed_production; biosecurity_management; species_taxon_specific,4,"field: disease/pathogen/symptom/prevention/treatment; hatchery keywords/fields: pl, trai giong; biosecurity/management keywords: biosecurity, kiem soat; field: related_taxon/species",,Vietnamese,multi-label
TB_007,Bệnh đốm trắng ở tôm nuôi và công nghệ nuôi tôm nhằm phòng bệnh đốm trắng,TB,2017,Technical article,aquatic_disease; biosecurity_management; species_taxon_specific,3,"field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: biosecurity, phong benh; field: related_taxon/species",,Vietnamese,multi-label
VJMST_001,"Hiện trạng nuôi trồng và khai thác thủy sản tại đầm Thủy Triều huyện Cam Lâm, tỉnh Khánh Hòa",Vietnamese journal,2013,Journal article,marine_aquaculture; local_vietnam_khanhhoa; species_taxon_specific,3,"marine keywords/fields: coastal; local keywords/fields: viet nam, khanh hoa; field: related_taxon/species",đầm Thủy Triều; Cam Lâm; Khánh Hòa; Việt Nam,Vietnamese,multi-label
KNQG_001,"Phát triển nuôi cá lồng bè trên biển bền vững, thích ứng biến đổi khí hậu",Trung tâm Khuyến nông Quốc gia,2022,Technical report,marine_aquaculture; local_vietnam_khanhhoa; species_taxon_specific,3,"marine keywords/fields: marine aquaculture, cage culture, nuoi bien, long be; local keywords/fields: viet nam, khanh hoa, nam trung bo; field: related_taxon/species",Khánh Hòa; Việt Nam; Nam Trung Bộ,Vietnamese,multi-label
YERSIN_001,Đánh giá tính bền vững nghề nuôi tôm tại huyện Ninh Hòa - tỉnh Khánh Hòa,Vietnamese journal,2022,Journal article,environment_water_quality; local_vietnam_khanhhoa; species_taxon_specific,3,"environment keywords/fields: moi truong; local keywords/fields: viet nam, khanh hoa; field: related_taxon/species",Ninh Hòa; Khánh Hòa; Việt Nam,Vietnamese,multi-label
JFST_001,"Nuôi cá chẽm (Lates calcarifer, Bloch, 1790) thương phẩm trong hệ thống “sông trong ao” tại Khánh Hòa",Vietnamese journal,2024,Journal article,environment_water_quality; local_vietnam_khanhhoa; species_taxon_specific,3,"environment keywords/fields: pond, moi truong; local keywords/fields: viet nam, khanh hoa; field: related_taxon/species",Khánh Hòa; Việt Nam,Vietnamese,multi-label
CTU_001,Kỹ thuật sản xuất giống và nuôi giáp xác,Nhà xuất bản Đại học Cần Thơ,2017,Textbook,hatchery_seed_production; local_vietnam_khanhhoa; species_taxon_specific,3,"hatchery keywords/fields: hatchery, seed production; local keywords/fields: viet nam; field: related_taxon/species",Việt Nam,Vietnamese,multi-label
TCKHTS_002,"Mô hình phòng, trị bệnh sữa, bệnh đỏ thân trên tôm hùm nuôi lồng tại các tỉnh Nam Trung Bộ",Vietnamese journal,2021,Journal article,aquatic_disease; marine_aquaculture; biosecurity_management; local_vietnam_khanhhoa; species_taxon_specific,5,"field: disease/pathogen/symptom/prevention/treatment; marine keywords/fields: marine aquaculture, cage culture, lobster; biosecurity/management keywords: prevention, phong benh; local keywords/fields: viet nam, khanh hoa, phu yen, binh dinh, nam trung bo; field: related_taxon/species",Bình Định; Phú Yên; Khánh Hòa; Nam Trung Bộ; Việt Nam,Vietnamese,multi-label
TCTS_002,Quy trình kiểm soát Rickettsia-like bacteria (RLB) gây bệnh sữa trên tôm hùm (Panulirus spp.) nuôi lồng,TCTS,2023,Technical guideline,aquatic_disease; marine_aquaculture; biosecurity_management; local_vietnam_khanhhoa; species_taxon_specific,5,"field: disease/pathogen/symptom/prevention/treatment; marine keywords/fields: marine aquaculture, cage culture, lobster; biosecurity/management keywords: prevention, phong benh, kiem soat; local keywords/fields: viet nam, khanh hoa, nha trang; field: related_taxon/species",Nha Trang; Khánh Hòa; Việt Nam,Vietnamese,multi-label
HUIB_001,Khả năng hình thành màng sinh học và tính kháng kháng sinh của Vibrio parahaemolyticus phân lập từ tôm hùm Panulirus spp. nuôi,Hội nghị Công nghệ Sinh học toàn quốc 2020,2020,Conference paper,aquatic_disease; marine_aquaculture; biosecurity_management; local_vietnam_khanhhoa; species_taxon_specific,5,"field: disease/pathogen/symptom/prevention/treatment; marine keywords/fields: marine aquaculture, cage culture, lobster; biosecurity/management keywords: risk; local keywords/fields: viet nam, khanh hoa; field: related_taxon/species",Bình Ba; Khánh Hòa; Việt Nam,Vietnamese,multi-label
KKTY_001,Tỷ lệ nhiễm và mức độ mẫn cảm kháng sinh của vi khuẩn Vibrio parahaemolyticus phân lập từ tôm hùm bông (Panulirus ornatus) nuôi lồng ở vùng biển tỉnh Phú Yên,Vietnamese journal,2016,Journal article,aquatic_disease; marine_aquaculture; biosecurity_management; local_vietnam_khanhhoa; species_taxon_specific,5,"field: disease/pathogen/symptom/prevention/treatment; marine keywords/fields: marine aquaculture, cage culture, lobster; biosecurity/management keywords: risk; local keywords/fields: viet nam, khanh hoa, phu yen; field: related_taxon/species",Cù Mông; Xuân Đài; An Chấn; Phú Yên; Việt Nam,Vietnamese,multi-label
TCKHTS_003,Tình hình cung cấp con giống tôm hùm bông (Panulirus ornatus) ở Việt Nam: hiện trạng và trở ngại,Vietnamese journal,2022,Journal article,marine_aquaculture; hatchery_seed_production; local_vietnam_khanhhoa; species_taxon_specific,4,"marine keywords/fields: marine aquaculture, lobster, cam ranh; hatchery keywords/fields: nursery; local keywords/fields: viet nam, khanh hoa, nha trang, cam ranh, phu yen; field: related_taxon/species",Việt Nam; Khánh Hòa; Nha Trang; Ninh Hòa; Cam Ranh; Phú Yên; Bình Định,Vietnamese,multi-label
KNQG_002,Kỹ thuật nuôi tôm hùm lồng và các biện pháp phòng trị bệnh,Trung tâm Khuyến ngư Quốc gia,2006,Technical manual,aquatic_disease; marine_aquaculture; biosecurity_management; environment_water_quality; local_vietnam_khanhhoa; species_taxon_specific,6,"field: disease/pathogen/symptom/prevention/treatment; marine keywords/fields: marine aquaculture, cage culture, lobster; biosecurity/management keywords: prevention, phong benh; environment keywords/fields: moi truong; local keywords/fields: viet nam, khanh hoa, nam trung bo; field: related_taxon/species",Việt Nam; Nam Trung Bộ; Khánh Hòa,Vietnamese,multi-label
CTU_JOURNAL_001,Phân tích hiệu quả sản xuất các mô hình nuôi tôm thẻ chân trắng và tôm sú thâm canh ở tỉnh Ninh Thuận,Vietnamese journal,2014,Journal article,local_vietnam_khanhhoa; species_taxon_specific,2,"local keywords/fields: viet nam, khanh hoa, ninh thuan; field: related_taxon/species",Ninh Thuận; Việt Nam,Vietnamese,multi-label
CTU_JOURNAL_002,Phân tích hiệu quả kỹ thuật và tài chính của mô hình nuôi tôm thẻ chân trắng ở tỉnh Cà Mau,Vietnamese journal,2015,Journal article,local_vietnam_khanhhoa; species_taxon_specific,2,"local keywords/fields: viet nam, khanh hoa, ca mau; field: related_taxon/species",Cà Mau; Việt Nam,Vietnamese,multi-label
TCKHTS_004,"Thực trạng, tiềm năng và giải pháp phát triển nuôi tôm trên cát ở khu vực miền Trung",Vietnamese journal,2018,Journal article,aquatic_disease; marine_aquaculture; environment_water_quality; local_vietnam_khanhhoa; species_taxon_specific,5,"field: disease/pathogen/symptom/prevention/treatment; marine keywords/fields: coastal aquaculture, coastal; environment keywords/fields: moi truong; local keywords/fields: viet nam, khanh hoa; field: related_taxon/species",miền Trung; Việt Nam; vùng ven biển miền Trung,Vietnamese,multi-label
VAP_001,Ô nhiễm môi trường trầm tích vùng nuôi và rủi ro đối với hoạt động nuôi lồng bè ven biển Nam Trung Bộ,Kỷ yếu Hội nghị Nghiên cứu cơ bản trong Khoa học Trái đất và Môi trường,2019,Conference paper,marine_aquaculture; biosecurity_management; environment_water_quality; local_vietnam_khanhhoa; species_taxon_specific,5,"marine keywords/fields: marine aquaculture, cage culture, lobster, coastal aquaculture, coastal; biosecurity/management keywords: risk; environment keywords/fields: environmental, monitoring, moi truong; local keywords/fields: viet nam, nam trung bo; field: related_taxon/species",Nam Trung Bộ; Việt Nam; vùng ven biển Nam Trung Bộ,Vietnamese,multi-label
VAWRE_001,Nghiên cứu biến động và giải pháp kiểm soát chất lượng môi trường vùng nuôi tôm tập trung tại Quảng Ninh,Viện Khoa học Thủy lợi Việt Nam,2022,Thesis,biosecurity_management; environment_water_quality; local_vietnam_khanhhoa; species_taxon_specific,4,"biosecurity/management keywords: kiem soat; environment keywords/fields: environmental, monitoring, quan trac, moi truong; local keywords/fields: viet nam, khanh hoa; field: related_taxon/species",Quảng Ninh; Việt Nam,Vietnamese,multi-label
TCKHTS_005,Tổng quan Decapod iridescent virus 1 (DIV1) gây bệnh ở tôm,Vietnamese journal,2021,Journal article,aquatic_disease; local_vietnam_khanhhoa; species_taxon_specific,3,field: disease/pathogen/symptom/prevention/treatment; local keywords/fields: viet nam; field: related_taxon/species,Việt Nam; Trung Quốc; Thái Lan; Ấn Độ Dương; Đài Loan,Vietnamese,multi-label
VJAS_001,Nghiên cứu bệnh vi bào tử trùng Enterocytozoon hepatopenaei (EHP) trên tôm thẻ chân trắng nuôi tại Quảng Ninh và Nam Định,Vietnamese journal,2023,Journal article,aquatic_disease; local_vietnam_khanhhoa; species_taxon_specific,3,field: disease/pathogen/symptom/prevention/treatment; local keywords/fields: viet nam; field: related_taxon/species,Quảng Ninh; Nam Định; miền Bắc Việt Nam; Việt Nam,Vietnamese,multi-label
TNU_JST_001,Điều tra độc lực của vi khuẩn Vibrio parahaemolyticus gây bệnh trên tôm thẻ chân trắng,TNU Journal of Science and Technology,2025,Journal article,aquatic_disease; local_vietnam_khanhhoa; species_taxon_specific,3,field: disease/pathogen/symptom/prevention/treatment; local keywords/fields: viet nam; field: related_taxon/species,Việt Nam,Vietnamese,multi-label
MDPI_001,"Prevalence of Vibrio parahaemolyticus Causing Acute Hepatopancreatic Necrosis Disease of Shrimp in Shrimp, Molluscan Shellfish and Water Samples in the Mekong Delta, Vietnam",PMC/journal,2020,Journal article,aquatic_disease; biosecurity_management; environment_water_quality; local_vietnam_khanhhoa; species_taxon_specific,5,"field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: risk; environment keywords/fields: pond; local keywords/fields: vietnam, viet nam, mekong delta, dong bang song cuu long; field: related_taxon/species",Mekong Delta; Vietnam,English,multi-label
AAF_001,Characteristics and diversity of Vibrio parahaemolyticus causing acute hepatopancreatic necrosis disease in Vietnam,Aquaculture and Fisheries,2025,Journal article,aquatic_disease; local_vietnam_khanhhoa; species_taxon_specific,3,"field: disease/pathogen/symptom/prevention/treatment; local keywords/fields: vietnam, viet nam; field: related_taxon/species",Vietnam,English,multi-label
DLU_002,Nghiên cứu sự nhiễm vi rút đốm trắng (WSSV) ở tôm càng (Macrobrachium nipponense) và khả năng lan truyền bệnh sang tôm thẻ chân trắng (Litopenaeus vannamei),Thư viện số Trường Đại học Đà Lạt,2017,Journal article,aquatic_disease; local_vietnam_khanhhoa; species_taxon_specific,3,field: disease/pathogen/symptom/prevention/treatment; local keywords/fields: viet nam; field: related_taxon/species,Việt Nam,Vietnamese,multi-label
VJMST_003,Đánh giá sức tải môi trường vực nước Thủy Triều - Cam Ranh,Vietnamese journal,2013,Journal article,marine_aquaculture; environment_water_quality; local_vietnam_khanhhoa; species_taxon_specific,4,"marine keywords/fields: coastal, cam ranh; environment keywords/fields: environmental, moi truong; local keywords/fields: viet nam, khanh hoa, cam ranh; field: related_taxon/species",Thủy Triều; Cam Ranh; Khánh Hòa; Việt Nam,Vietnamese,multi-label
TCKHTS_006,Phân lập và định danh vi khuẩn Photobacterium damselae gây bệnh trên cá chim vây vàng tại Khánh Hòa bằng phương pháp sinh hóa và phân tử,Vietnamese journal,2025,Journal article,aquatic_disease; marine_aquaculture; local_vietnam_khanhhoa; species_taxon_specific,4,"field: disease/pathogen/symptom/prevention/treatment; marine keywords/fields: cage culture, marine fish; local keywords/fields: viet nam, khanh hoa; field: related_taxon/species",Khánh Hòa; Việt Nam,Vietnamese,multi-label
TCKHTS_007,Một số đặc điểm sinh học của vi khuẩn Vibrio harveyi gây bệnh xuất huyết lở loét ở cá chẽm nuôi tại Khánh Hòa,Vietnamese journal,2022,Journal article,aquatic_disease; marine_aquaculture; local_vietnam_khanhhoa; species_taxon_specific,4,"field: disease/pathogen/symptom/prevention/treatment; marine keywords/fields: cage culture, marine fish, van ninh; local keywords/fields: viet nam, khanh hoa, van ninh; field: related_taxon/species",Vạn Ninh; Khánh Hòa; Việt Nam,Vietnamese,multi-label
CTU_JOURNAL_003,Hiện trạng nhiễm ký sinh trùng trên cá bớp (Rachycentron canadum) nuôi lồng ở tỉnh Kiên Giang,Vietnamese journal,2017,Journal article,aquatic_disease; marine_aquaculture; local_vietnam_khanhhoa; species_taxon_specific,4,"field: disease/pathogen/symptom/prevention/treatment; marine keywords/fields: cage culture, marine fish; local keywords/fields: viet nam, khanh hoa; field: related_taxon/species",Kiên Giang; Phú Quốc; Tiên Hải; Hòn Nghệ; Nam Du; Việt Nam,Vietnamese,multi-label
CTU_002,Kỹ thuật sản xuất giống và nuôi cá biển,Nhà xuất bản Đại học Cần Thơ,2017,Textbook,marine_aquaculture; hatchery_seed_production; local_vietnam_khanhhoa; species_taxon_specific,4,"marine keywords/fields: marine aquaculture, marine fish, nuoi bien; hatchery keywords/fields: hatchery, seed production; local keywords/fields: viet nam; field: related_taxon/species",Việt Nam,Vietnamese,multi-label
VJAS_002,Tổng quan về bệnh do vi khuẩn Streptococcus iniae gây ra trên cá biển,Vietnamese journal,2025,Journal article,aquatic_disease; marine_aquaculture; biosecurity_management; local_vietnam_khanhhoa; species_taxon_specific,5,"field: disease/pathogen/symptom/prevention/treatment; marine keywords/fields: cage culture, marine fish; biosecurity/management keywords: kiem soat; local keywords/fields: viet nam; field: related_taxon/species",Việt Nam,Vietnamese,multi-label
TCKHTS_008,Bệnh mù mắt do liên cầu khuẩn gây ra ở cá bớp nuôi tại Khánh Hòa,Vietnamese journal,2018,Journal article,aquatic_disease; marine_aquaculture; local_vietnam_khanhhoa; species_taxon_specific,4,"field: disease/pathogen/symptom/prevention/treatment; marine keywords/fields: cage culture, marine fish; local keywords/fields: viet nam, khanh hoa; field: related_taxon/species",Khánh Hòa; Việt Nam,Vietnamese,multi-label
TCKHTS_009,"Nghiên cứu mối quan hệ phát sinh loài của sán lá song chủ ký sinh trên cá chẽm (Lates calcarifer Bloch, 1790) nuôi tại Khánh Hòa",Vietnamese journal,2017,Journal article,aquatic_disease; marine_aquaculture; local_vietnam_khanhhoa; species_taxon_specific,4,"field: disease/pathogen/symptom/prevention/treatment; marine keywords/fields: marine fish; local keywords/fields: viet nam, khanh hoa; field: related_taxon/species",Khánh Hòa; Việt Nam,Vietnamese,multi-label
