query_id,original_query,query_group,detected_entity,entity_type,expansion_type,expansion_terms,expansion_source,expanded_query_example,expected_effect,risk_or_caution,should_use_in_final,notes
LO_002,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024,local,Bệnh đốm trắng,disease,disease_alias,WSD; White spot disease; WSSV,skos:altLabel; skos:prefLabel,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024 WSD White spot disease WSSV,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
LO_002,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024,local,Bệnh đốm trắng,disease,disease_to_pathogen,Virus đốm trắng (WSSV); WSSV; White Spot Syndrome Virus,ontology relation causedBy,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024 Virus đốm trắng (WSSV) WSSV White Spot Syndrome Virus,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
LO_002,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024,local,Bệnh đốm trắng,disease,disease_to_symptom,Bỏ ăn; Anorexia; Lờ đờ; Lethargy; Đốm trắng; White spot,ontology relation hasSymptom,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024 Bỏ ăn Anorexia Lờ đờ Lethargy,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
LO_002,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024,local,Bệnh đốm trắng,disease,disease_to_prevention,An toàn sinh học; Biosecurity; Giống sạch bệnh (SPF); Use SPF seed,ontology relation recommendedPrevention,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024 An toàn sinh học Biosecurity Giống sạch bệnh (SPF) Use SPF seed,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
LO_002,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024,local,Bệnh đốm trắng,disease,disease_to_treatment,Tăng sục khí; Improve aeration; Thay nước; Water exchange,ontology relation recommendedTreatment,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024 Tăng sục khí Improve aeration Thay nước Water exchange,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
LO_002,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024,local,Bệnh hoại tử gan tụy cấp,disease,disease_alias,AHPND; Acute Hepatopancreatic Necrosis Disease,skos:altLabel; skos:prefLabel,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024 AHPND Acute Hepatopancreatic Necrosis Disease,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
LO_002,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024,local,Bệnh hoại tử gan tụy cấp,disease,disease_to_pathogen,Vi khuẩn Vibrio parahaemolyticus; Vibrio parahaemolyticus,ontology relation causedBy,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024 Vi khuẩn Vibrio parahaemolyticus Vibrio parahaemolyticus,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
LO_002,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024,local,Bệnh hoại tử gan tụy cấp,disease,disease_to_symptom,Bỏ ăn; Anorexia; Gan tụy bất thường; Lờ đờ; Lethargy,ontology relation hasSymptom,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024 Bỏ ăn Anorexia Gan tụy bất thường Lờ đờ,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
LO_002,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024,local,Bệnh hoại tử gan tụy cấp,disease,disease_to_prevention,An toàn sinh học; Biosecurity; Giống sạch bệnh (SPF); Use SPF seed,ontology relation recommendedPrevention,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024 An toàn sinh học Biosecurity Giống sạch bệnh (SPF) Use SPF seed,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
LO_002,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024,local,Bệnh hoại tử gan tụy cấp,disease,disease_to_treatment,Tăng sục khí; Improve aeration; Thay nước; Water exchange,ontology relation recommendedTreatment,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024 Tăng sục khí Improve aeration Thay nước Water exchange,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
LO_002,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024,local,EHP,disease,disease_alias,Enterocytozoon hepatopenaei; Ecytonucleospora hepatopenaei,skos:altLabel; skos:prefLabel,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024 Enterocytozoon hepatopenaei Ecytonucleospora hepatopenaei,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
LO_002,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024,local,Đồng bằng sông Cửu Long,location,location_alias,Mekong Delta; Mekong River Delta; ĐBSCL; dong bang song cuu long,skos:altLabel; skos:prefLabel,hiện diện bệnh đốm trắng AHPND và EHP trên tôm ĐBSCL 2022–2024 Mekong Delta Mekong River Delta ĐBSCL dong bang song cuu long,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
LO_004,quy hoạch phát triển nuôi tôm hùm Khánh Hòa đến 2030,local,Tôm hùm bông,taxon,taxon_alias,Ornate spiny lobster; Panulirus ornatus; lobster; mud spiny lobster; tom hum,skos:altLabel; skos:prefLabel,quy hoạch phát triển nuôi tôm hùm Khánh Hòa đến 2030 Ornate spiny lobster Panulirus ornatus lobster mud spiny lobster,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
LO_004,quy hoạch phát triển nuôi tôm hùm Khánh Hòa đến 2030,local,Tôm hùm bông,taxon,location_parent,Ven biển Khánh Hòa; Khanh Hoa coastal waters; coastal khanh hoa; khanh hoa; Ven biển Phú Yên; Phu Yen coastal waters,ontology relation isFoundIn,quy hoạch phát triển nuôi tôm hùm Khánh Hòa đến 2030 Ven biển Khánh Hòa Khanh Hoa coastal waters coastal khanh hoa khanh hoa,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
LO_004,quy hoạch phát triển nuôi tôm hùm Khánh Hòa đến 2030,local,Ven biển Khánh Hòa,location,location_alias,Khanh Hoa coastal waters; coastal khanh hoa; khanh hoa,skos:altLabel; skos:prefLabel,quy hoạch phát triển nuôi tôm hùm Khánh Hòa đến 2030 Khanh Hoa coastal waters coastal khanh hoa khanh hoa,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
LO_004,quy hoạch phát triển nuôi tôm hùm Khánh Hòa đến 2030,local,Ven biển Khánh Hòa,location,location_parent,Tôm thẻ chân trắng; Pacific white shrimp; Penaeus vannamei; Litopenaeus vannamei; Cá bớp; Cobia; Rachycentron canadum; Tôm hùm bông,ontology relation isFoundIn,quy hoạch phát triển nuôi tôm hùm Khánh Hòa đến 2030 Tôm thẻ chân trắng Pacific white shrimp Penaeus vannamei Litopenaeus vannamei,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
LO_005,rủi ro quản lý nông dân nuôi tôm càng quy mô nhỏ Đồng bằng sông Cửu Long,local,Đồng bằng sông Cửu Long,location,location_alias,Mekong Delta; Mekong River Delta; ĐBSCL; dong bang song cuu long,skos:altLabel; skos:prefLabel,rủi ro quản lý nông dân nuôi tôm càng quy mô nhỏ Đồng bằng sông Cửu Long Mekong Delta Mekong River Delta ĐBSCL dong bang song cuu long,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
LO_006,bệnh đốm trắng ở tôm nuôi và công nghệ phòng bệnh đốm trắng,local,Bệnh đốm trắng,disease,disease_alias,WSD; White spot disease; WSSV,skos:altLabel; skos:prefLabel,bệnh đốm trắng ở tôm nuôi và công nghệ phòng bệnh đốm trắng WSD White spot disease WSSV,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
LO_006,bệnh đốm trắng ở tôm nuôi và công nghệ phòng bệnh đốm trắng,local,Bệnh đốm trắng,disease,disease_to_pathogen,Virus đốm trắng (WSSV); WSSV; White Spot Syndrome Virus,ontology relation causedBy,bệnh đốm trắng ở tôm nuôi và công nghệ phòng bệnh đốm trắng Virus đốm trắng (WSSV) WSSV White Spot Syndrome Virus,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
LO_006,bệnh đốm trắng ở tôm nuôi và công nghệ phòng bệnh đốm trắng,local,Bệnh đốm trắng,disease,disease_to_symptom,Bỏ ăn; Anorexia; Lờ đờ; Lethargy; Đốm trắng; White spot,ontology relation hasSymptom,bệnh đốm trắng ở tôm nuôi và công nghệ phòng bệnh đốm trắng Bỏ ăn Anorexia Lờ đờ Lethargy,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
LO_006,bệnh đốm trắng ở tôm nuôi và công nghệ phòng bệnh đốm trắng,local,Bệnh đốm trắng,disease,disease_to_prevention,An toàn sinh học; Biosecurity; Giống sạch bệnh (SPF); Use SPF seed,ontology relation recommendedPrevention,bệnh đốm trắng ở tôm nuôi và công nghệ phòng bệnh đốm trắng An toàn sinh học Biosecurity Giống sạch bệnh (SPF) Use SPF seed,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
LO_006,bệnh đốm trắng ở tôm nuôi và công nghệ phòng bệnh đốm trắng,local,Bệnh đốm trắng,disease,disease_to_treatment,Tăng sục khí; Improve aeration; Thay nước; Water exchange,ontology relation recommendedTreatment,bệnh đốm trắng ở tôm nuôi và công nghệ phòng bệnh đốm trắng Tăng sục khí Improve aeration Thay nước Water exchange,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
SL_001,nuôi tôm sú và trại giống tại Bangladesh,species-location,Tôm sú,taxon,taxon_alias,Black Tiger Prawn; Penaeus monodon,skos:altLabel; skos:prefLabel,nuôi tôm sú và trại giống tại Bangladesh Black Tiger Prawn Penaeus monodon,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
SL_001,nuôi tôm sú và trại giống tại Bangladesh,species-location,Tôm sú,taxon,location_parent,Vùng biển miền Trung; Central Coast Sea of Vietnam,ontology relation isFoundIn,nuôi tôm sú và trại giống tại Bangladesh Vùng biển miền Trung Central Coast Sea of Vietnam,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
SL_002,tôm thẻ chân trắng Penaeus vannamei di chuyển giới thiệu Châu Á Thái Bình Dương,species-location,Tôm thẻ chân trắng,taxon,taxon_alias,Pacific white shrimp; Penaeus vannamei; Litopenaeus vannamei; white shrimp,skos:altLabel; skos:prefLabel,tôm thẻ chân trắng Penaeus vannamei di chuyển giới thiệu Châu Á Thái Bình Dương Pacific white shrimp Penaeus vannamei Litopenaeus vannamei white shrimp,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
SL_002,tôm thẻ chân trắng Penaeus vannamei di chuyển giới thiệu Châu Á Thái Bình Dương,species-location,Tôm thẻ chân trắng,taxon,location_parent,Ven biển Khánh Hòa; Khanh Hoa coastal waters; coastal khanh hoa; khanh hoa; Ven biển Ninh Thuận; Ninh Thuan coastal waters,ontology relation isFoundIn,tôm thẻ chân trắng Penaeus vannamei di chuyển giới thiệu Châu Á Thái Bình Dương Ven biển Khánh Hòa Khanh Hoa coastal waters coastal khanh hoa khanh hoa,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
SL_006,Penaeus monodon hatchery manual Ấn Độ kinh nghiệm,species-location,Tôm sú,taxon,taxon_alias,Black Tiger Prawn; Penaeus monodon,skos:altLabel; skos:prefLabel,Penaeus monodon hatchery manual Ấn Độ kinh nghiệm Black Tiger Prawn Penaeus monodon,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
SL_006,Penaeus monodon hatchery manual Ấn Độ kinh nghiệm,species-location,Tôm sú,taxon,location_parent,Vùng biển miền Trung; Central Coast Sea of Vietnam,ontology relation isFoundIn,Penaeus monodon hatchery manual Ấn Độ kinh nghiệm Vùng biển miền Trung Central Coast Sea of Vietnam,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
SL_006,Penaeus monodon hatchery manual Ấn Độ kinh nghiệm,species-location,Ấn Độ,location,location_alias,India,skos:altLabel; skos:prefLabel,Penaeus monodon hatchery manual Ấn Độ kinh nghiệm India,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
SL_007,shrimp hatchery Latin America white shrimp,species-location,Tôm thẻ chân trắng,taxon,taxon_alias,Pacific white shrimp; Penaeus vannamei; Litopenaeus vannamei; white shrimp,skos:altLabel; skos:prefLabel,shrimp hatchery Latin America white shrimp Pacific white shrimp Penaeus vannamei Litopenaeus vannamei white shrimp,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
SL_007,shrimp hatchery Latin America white shrimp,species-location,Tôm thẻ chân trắng,taxon,location_parent,Ven biển Khánh Hòa; Khanh Hoa coastal waters; coastal khanh hoa; khanh hoa; Ven biển Ninh Thuận; Ninh Thuan coastal waters,ontology relation isFoundIn,shrimp hatchery Latin America white shrimp Ven biển Khánh Hòa Khanh Hoa coastal waters coastal khanh hoa khanh hoa,Relation expansion can add KG-neighbor evidence to candidate generation.,Use lower weight than exact entity terms to avoid query drift.,false,Prototype/design example; not applied to final hybrid runtime.
SL_007,shrimp hatchery Latin America white shrimp,species-location,Mỹ Latin,location,location_alias,Latin America,skos:altLabel; skos:prefLabel,shrimp hatchery Latin America white shrimp Latin America,Alias expansion can improve entity linking and lexical/vector recall.,"Alias-only expansion is low risk, but should still be capped.",false,Prototype/design example; not applied to final hybrid runtime.
QE_META_DISEASE_001,AHPND shrimp disease,disease-specific,AHPND,disease,disease_alias,AHPND; shrimp culture; Penaeus vannamei; Penaeus monodon; bacterial disease; acute hepatopancreatic necrosis disease,metadata related_disease; metadata keywords,AHPND shrimp disease AHPND shrimp culture Penaeus vannamei Penaeus monodon,Metadata-driven disease aliases can fill gaps when ontology labels are sparse.,Metadata terms may include broad keywords; manual review recommended.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_DISEASE_002,vibriosis shrimp disease,disease-specific,vibriosis,disease,disease_alias,vibriosis; aquaculture; shrimp disease; AHPND; EMS; shrimp; Marsupenaeus japonicus,metadata related_disease; metadata keywords,vibriosis shrimp disease vibriosis aquaculture shrimp disease AHPND,Metadata-driven disease aliases can fill gaps when ontology labels are sparse.,Metadata terms may include broad keywords; manual review recommended.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_DISEASE_003,WSSV shrimp disease,disease-specific,WSSV,disease,disease_alias,WSSV; shrimp; Penaeus vannamei; biosecurity; Saudi Arabia; aquatic animal health,metadata related_disease; metadata keywords,WSSV shrimp disease WSSV shrimp Penaeus vannamei biosecurity,Metadata-driven disease aliases can fill gaps when ontology labels are sparse.,Metadata terms may include broad keywords; manual review recommended.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_DISEASE_004,EHP shrimp disease,disease-specific,EHP,disease,disease_alias,EHP; shrimp; AHPND; acute hepatopancreatic necrosis disease; HPM,metadata related_disease; metadata keywords,EHP shrimp disease EHP shrimp AHPND acute hepatopancreatic necrosis disease,Metadata-driven disease aliases can fill gaps when ontology labels are sparse.,Metadata terms may include broad keywords; manual review recommended.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_DISEASE_005,IMN shrimp disease,disease-specific,IMN,disease,disease_alias,IMN; aquaculture; prawns and shrimps; Penaeus vannamei; viroses; biosecurity,metadata related_disease; metadata keywords,IMN shrimp disease IMN aquaculture prawns and shrimps Penaeus vannamei,Metadata-driven disease aliases can fill gaps when ontology labels are sparse.,Metadata terms may include broad keywords; manual review recommended.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_DISEASE_006,Enterocytozoon hepatopenaei shrimp disease,disease-specific,Enterocytozoon hepatopenaei,disease,disease_alias,Enterocytozoon hepatopenaei; shrimp; EHP; HPM; penaeid shrimp,metadata related_disease; metadata keywords,Enterocytozoon hepatopenaei shrimp disease Enterocytozoon hepatopenaei shrimp EHP HPM,Metadata-driven disease aliases can fill gaps when ontology labels are sparse.,Metadata terms may include broad keywords; manual review recommended.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_DISEASE_007,EMS shrimp disease,disease-specific,EMS,disease,disease_alias,EMS; shrimp; AHPND; early mortality syndrome,metadata related_disease; metadata keywords,EMS shrimp disease EMS shrimp AHPND early mortality syndrome,Metadata-driven disease aliases can fill gaps when ontology labels are sparse.,Metadata terms may include broad keywords; manual review recommended.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_DISEASE_008,HPM shrimp disease,disease-specific,HPM,disease,disease_alias,HPM; shrimp; AHPND; acute hepatopancreatic necrosis disease,metadata related_disease; metadata keywords,HPM shrimp disease HPM shrimp AHPND acute hepatopancreatic necrosis disease,Metadata-driven disease aliases can fill gaps when ontology labels are sparse.,Metadata terms may include broad keywords; manual review recommended.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_TAXON_009,shrimp aquaculture,species-location,shrimp,taxon,taxon_alias,shrimp,metadata related_taxon,shrimp aquaculture shrimp,Metadata taxon variants support common/scientific-name expansion.,Single metadata term may be generic; combine with disease/location/mode constraints.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_TAXON_010,Penaeus vannamei aquaculture,species-location,Penaeus vannamei,taxon,taxon_alias,Penaeus vannamei,metadata related_taxon,Penaeus vannamei aquaculture Penaeus vannamei,Metadata taxon variants support common/scientific-name expansion.,Single metadata term may be generic; combine with disease/location/mode constraints.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_TAXON_011,fish aquaculture,species-location,fish,taxon,taxon_alias,fish,metadata related_taxon,fish aquaculture fish,Metadata taxon variants support common/scientific-name expansion.,Single metadata term may be generic; combine with disease/location/mode constraints.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_TAXON_012,aquatic animals aquaculture,species-location,aquatic animals,taxon,taxon_alias,aquatic animals,metadata related_taxon,aquatic animals aquaculture aquatic animals,Metadata taxon variants support common/scientific-name expansion.,Single metadata term may be generic; combine with disease/location/mode constraints.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_TAXON_013,Penaeus monodon aquaculture,species-location,Penaeus monodon,taxon,taxon_alias,Penaeus monodon,metadata related_taxon,Penaeus monodon aquaculture Penaeus monodon,Metadata taxon variants support common/scientific-name expansion.,Single metadata term may be generic; combine with disease/location/mode constraints.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_TAXON_014,aquatic species aquaculture,species-location,aquatic species,taxon,taxon_alias,aquatic species,metadata related_taxon,aquatic species aquaculture aquatic species,Metadata taxon variants support common/scientific-name expansion.,Single metadata term may be generic; combine with disease/location/mode constraints.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_TAXON_015,tôm thẻ chân trắng aquaculture,species-location,tôm thẻ chân trắng,taxon,taxon_alias,tôm thẻ chân trắng,metadata related_taxon,tôm thẻ chân trắng aquaculture tôm thẻ chân trắng,Metadata taxon variants support common/scientific-name expansion.,Single metadata term may be generic; combine with disease/location/mode constraints.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_TAXON_016,tôm sú aquaculture,species-location,tôm sú,taxon,taxon_alias,tôm sú,metadata related_taxon,tôm sú aquaculture tôm sú,Metadata taxon variants support common/scientific-name expansion.,Single metadata term may be generic; combine with disease/location/mode constraints.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_LOCATION_017,aquaculture Global,local,Global,location,location_alias,Global,metadata related_location,aquaculture Global Global,Location expansion improves recall for local/regional documents.,Parent/broader locations should use lower weight to avoid local query drift.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_LOCATION_018,aquaculture India,local,India,location,location_alias,India,metadata related_location,aquaculture India India,Location expansion improves recall for local/regional documents.,Parent/broader locations should use lower weight to avoid local query drift.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_LOCATION_019,aquaculture Thailand,local,Thailand,location,location_alias,Thailand,metadata related_location,aquaculture Thailand Thailand,Location expansion improves recall for local/regional documents.,Parent/broader locations should use lower weight to avoid local query drift.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_LOCATION_020,aquaculture Vietnam,local,Vietnam,location,location_alias,Vietnam,metadata related_location,aquaculture Vietnam Vietnam,Location expansion improves recall for local/regional documents.,Parent/broader locations should use lower weight to avoid local query drift.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_LOCATION_021,aquaculture Latin America,local,Latin America,location,location_alias,Latin America,metadata related_location,aquaculture Latin America Latin America,Location expansion improves recall for local/regional documents.,Parent/broader locations should use lower weight to avoid local query drift.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_LOCATION_022,aquaculture Asia,local,Asia,location,location_alias,Asia,metadata related_location,aquaculture Asia Asia,Location expansion improves recall for local/regional documents.,Parent/broader locations should use lower weight to avoid local query drift.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_MODE_023,shrimp aquaculture shrimp,hatchery-production-mode,shrimp aquaculture,production_mode,production_mode_alias,shrimp aquaculture,metadata production_mode,shrimp aquaculture shrimp shrimp aquaculture,Production-mode expansion helps mode-sensitive retrieval.,Do not mix hatchery/grow-out/capture modes without guardrails.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_MODE_024,aquaculture shrimp,hatchery-production-mode,aquaculture,production_mode,production_mode_alias,aquaculture,metadata production_mode,aquaculture shrimp aquaculture,Production-mode expansion helps mode-sensitive retrieval.,Do not mix hatchery/grow-out/capture modes without guardrails.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_MODE_025,hatchery aquaculture shrimp,hatchery-production-mode,hatchery aquaculture,production_mode,production_mode_alias,hatchery aquaculture,metadata production_mode,hatchery aquaculture shrimp hatchery aquaculture,Production-mode expansion helps mode-sensitive retrieval.,Do not mix hatchery/grow-out/capture modes without guardrails.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_MODE_026,inland fisheries shrimp,hatchery-production-mode,inland fisheries,production_mode,production_mode_alias,inland fisheries,metadata production_mode,inland fisheries shrimp inland fisheries,Production-mode expansion helps mode-sensitive retrieval.,Do not mix hatchery/grow-out/capture modes without guardrails.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_MODE_027,fisheries shrimp,hatchery-production-mode,fisheries,production_mode,production_mode_alias,fisheries,metadata production_mode,fisheries shrimp fisheries,Production-mode expansion helps mode-sensitive retrieval.,Do not mix hatchery/grow-out/capture modes without guardrails.,false,Prototype/design example; not applied to final hybrid runtime.
QE_META_MODE_028,marine aquaculture shrimp,hatchery-production-mode,marine aquaculture,production_mode,production_mode_alias,marine aquaculture,metadata production_mode,marine aquaculture shrimp marine aquaculture,Production-mode expansion helps mode-sensitive retrieval.,Do not mix hatchery/grow-out/capture modes without guardrails.,false,Prototype/design example; not applied to final hybrid runtime.
